development-policy,name,description,organisation,development-policy-categories,geographies,notes,entry-date,start-date,end-date,slug
ccs-CS9,Affordable Housing in Rural Areas,,local-authority-eng:BUC,affordable-housing,E07000005,,2020-12-21,2011-11-15,,/development-policy/local-authority-eng/BUC/ccs-CS9
chalfontstgilesndp-CFP1,Protecting and Enhancing Community Facilities in the Parish,,local-authority-eng:BUC,community-facilities,E04001565,,2020-12-21,2019-07-23,,/development-policy/local-authority-eng/BUC/chalfontstgilesndp-CFP1
chalfontstgilesndp-DP1,New Development,,local-authority-eng:BUC,development-management,E04001566,,2020-12-21,2019-07-23,,/development-policy/local-authority-eng/BUC/chalfontstgilesndp-DP1
chalfontstgilesndp-EP1,Supporting the Vitality of the Parish’s Local Economy,,local-authority-eng:BUC,economy,E04001565,,2020-12-21,2019-07-23,,/development-policy/local-authority-eng/BUC/chalfontstgilesndp-EP1
chalfontstgilesndp-HEP1,Heritage Assets and Conservation Areas in the Parish,,local-authority-eng:BUC,conservation-area;heritage;listed-buildings,E04001566,,2020-12-21,2019-07-23,,/development-policy/local-authority-eng/BUC/chalfontstgilesndp-HEP1
chalfontstgilesndp-HP1,Rural Exception Sites in the Parish,,local-authority-eng:BUC,affordable-housing,E04001565,,2020-12-21,2019-07-23,,/development-policy/local-authority-eng/BUC/chalfontstgilesndp-HP1
chalfontstgilesndp-HP2,Well Integrated Affordable Housing in the Built-up Area,,local-authority-eng:BUC,affordable-housing,E04001565,,2020-12-21,2019-07-23,,/development-policy/local-authority-eng/BUC/chalfontstgilesndp-HP2
chalfontstgilesndp-NEP1,Green Routes,,local-authority-eng:BUC,nature,E04001565,,2020-12-21,2019-07-23,,/development-policy/local-authority-eng/BUC/chalfontstgilesndp-NEP1
chalfontstgilesndp-NEP2,Local Green Spaces in the Parish,,local-authority-eng:BUC,community-facilities;designation,E04001565,,2020-12-21,2019-07-23,,/development-policy/local-authority-eng/BUC/chalfontstgilesndp-NEP2
chalfontstpeterndp-H1,"On developments where there is a net gain of four or more dwellings, two bedroom dwellings must be included.",,local-authority-eng:BUC,development-management;housing,E04001566,,2020-12-21,2016-11-15,,/development-policy/local-authority-eng/BUC/chalfontstpeterndp-H1
chalfontstpeterndp-H2,The development of new homes for people wishing to down-size from larger dwellings to smaller homes will be supported. This includes dwellings in both C3 (dwellings) and C2 (residential care homes) use classes.,,local-authority-eng:BUC,development-management;housing,E04001566,,2020-12-21,2016-11-15,,/development-policy/local-authority-eng/BUC/chalfontstpeterndp-H2
chalfontstpeterndp-H3,"For developments where the net gain is ten or more dwellings, a Sustainability Statement must be submitted with any planning application demonstrating how the proposed development accords with higher level sustainability and energy policy requirements.",,local-authority-eng:BUC,development-management;energy;housing,E04001566,,2020-12-21,2016-11-15,,/development-policy/local-authority-eng/BUC/chalfontstpeterndp-H3
chalfontstpeterndp-H4,"Where planning permission is required, roof mounted solar panels and photo-voltaic panels should be designed to minimise visual impact. This applies to panels on new buildings as well as retrofi tted panels.",,local-authority-eng:BUC,design,E04001566,,2020-12-21,2016-11-15,,/development-policy/local-authority-eng/BUC/chalfontstpeterndp-H4
chalfontstpeterndp-H5,Design and Access Statements must demonstrate how the proposed development fi ts in with the specifi c characteristics of the Character Area in which it is located,,local-authority-eng:BUC,design,E04001566,,2020-12-21,2016-11-15,,/development-policy/local-authority-eng/BUC/chalfontstpeterndp-H5
chalfontstpeterndp-H6,"Residential development that reinforces the positive characteristics of its specifi c Character Area will be permitted subject to its meeting the requirements of other relevant policies in this Neighbourhood Plan, and higher level planning policy. Development that fails to reinforce the characteristics of its specifi c Character Area will be resisted.",,local-authority-eng:BUC,development-management,E04001566,,2020-12-21,2016-11-15,,/development-policy/local-authority-eng/BUC/chalfontstpeterndp-H6
chalfontstpeterndp-H7,"Where planning permission is required, alterations and/or extensions to existing residential properties should maintain or enhance the design, character and quality of the building.",,local-authority-eng:BUC,design;existing-housing;residential-alterations,E04001566,,2020-12-21,2016-11-15,,/development-policy/local-authority-eng/BUC/chalfontstpeterndp-H7
chalfontstpeterndp-LC1,Proposals to change the use of the land and buildings identifi ed in Table 8.1 and Figure 8.1 will be resisted.,,local-authority-eng:BUC,community-facilities,E04001566,,2020-12-21,2016-11-15,,/development-policy/local-authority-eng/BUC/chalfontstpeterndp-LC1
chalfontstpeterndp-LC2,"Retention of, improvements to, replacement and expansion of existing healthcare facilities will be supported. Loss, removal or degradation of existing healthcare facilities will be resisted unless it can be demonstrated that the replacement provision meets identifi ed healthcare needs",,local-authority-eng:BUC,community-facilities;health,E04001566,,2020-12-21,2016-11-15,,/development-policy/local-authority-eng/BUC/chalfontstpeterndp-LC2
chalfontstpeterndp-LC3,The provision of new healthcare facilities within the village will be supported.,,local-authority-eng:BUC,community-facilities,E04001566,,2020-12-21,2016-11-15,,/development-policy/local-authority-eng/BUC/chalfontstpeterndp-LC3
chalfontstpeterndp-MP1,"The siting of mobile phone masts should seek to minimise their visual impact, and grouping of new masts with existing is encouraged. New phone masts are preferred in the locations identifi ed in Figure 9.3.",,local-authority-eng:BUC,broadband;infrastructure;communications,E04001566,,2020-12-21,2016-11-15,,/development-policy/local-authority-eng/BUC/chalfontstpeterndp-MP1
chalfontstpeterndp-MP2,The sharing of existing and future masts will be encouraged where the visual impact of the proposed changes do not result in unacceptable harm to the character of the area.,,local-authority-eng:BUC,broadband;infrastructure;communications;design,E04001566,,2020-12-21,2016-11-15,,/development-policy/local-authority-eng/BUC/chalfontstpeterndp-MP2
chalfontstpeterndp-MP3,Mobile phone masts and associated equipment shall be designed to minimise visual impact.,,local-authority-eng:BUC,broadband;infrastructure;communications;design,E04001566,,2020-12-21,2016-11-15,,/development-policy/local-authority-eng/BUC/chalfontstpeterndp-MP3
chalfontstpeterndp-O1,"The change of use of open space identified in Figure 7.1, to any other purpose will not be permitted. In exceptional circumstances, school grounds and sports facilities may change use so long as the open space is re-provided within the Parish.",,local-authority-eng:BUC,community-facilities;leisure;open-space;schools,E04001566,,2020-12-21,2016-11-15,,/development-policy/local-authority-eng/BUC/chalfontstpeterndp-O1
chalfontstpeterndp-O2,"The spaces defined in Figures 7.2 and 7.3 as Local Green Space are designated as such and will be protected and, where possible, enhanced",,local-authority-eng:BUC,community-facilities;designation,E04001566,,2020-12-21,2016-11-15,,/development-policy/local-authority-eng/BUC/chalfontstpeterndp-O2
chalfontstpeterndp-PWI1,Proposals that involve the creation of new employment opportunities within the rural area will be supported so long as they accord with policies in the Neighbourhood Plan and higher level policies.,,local-authority-eng:BUC,employment,E04001566,,2020-12-21,2016-11-15,,/development-policy/local-authority-eng/BUC/chalfontstpeterndp-PWI1
chalfontstpeterndp-PWI2,"If additional plots for travellers are needed, the further development of around six pitches at the existing approved site, The Orchards, will be supported.",,local-authority-eng:BUC,gypsy-and-travellers,E04001566,,2020-12-21,2016-11-15,,/development-policy/local-authority-eng/BUC/chalfontstpeterndp-PWI2
chalfontstpeterndp-VC1,The design of new development within the Village Centre must conserve or enhance the character of the area,,local-authority-eng:BUC,design;development-management,E04001566,,2020-12-21,2016-11-15,,/development-policy/local-authority-eng/BUC/chalfontstpeterndp-VC1
chalfontstpeterndp-VC2,Buildings that make a positive architectural contribution to the Village Centre are identified in Figure 5.3. Improvements to these buildings will be supported and encouraged so long as they maintain or enhance the positive contribution the building makes to the Village Centre. Replacement of any building will only be permitted in exceptional circumstances provided that the proposed development is (i) of better architectural quality than the existing building; and (ii) makes a more positive architectural contribution to the Village Centre. Replacement buildings that fail to make a more positive contribution or are of lesser quality than the existing will be resisted.,,local-authority-eng:BUC,design,E04001566,,2020-12-21,2016-11-15,,/development-policy/local-authority-eng/BUC/chalfontstpeterndp-VC2
chalfontstpeterndp-VC3,"To promote the vitality and viability of the village centre, the District Shopping Centre is extended as shown in Figure 5.4",,local-authority-eng:BUC,economy,E04001566,,2020-12-21,2016-11-15,,/development-policy/local-authority-eng/BUC/chalfontstpeterndp-VC3
chalfontstpeterndp-VC4,Within Primary Shopping Frontages changes of use from use class A1 will be refused unless the proposed use would not create a significant break in the shopping frontage i.e. the number of unitsnot to exceed 10% non-A1 type uses in a frontage comprising the application site and fi ve units either side of the proposal site (where there are fi ve units within the frontage) and such that there will not result in the proposed use adjoining another non-A1 type use,,local-authority-eng:BUC,development-management;retail-policy,E04001566,,2020-12-21,2016-11-15,,/development-policy/local-authority-eng/BUC/chalfontstpeterndp-VC4
chalfontstpeterndp-VC5,Improvements to or redevelopment of St Peter’s Court must support the Village Centre by following the principles set out below,,local-authority-eng:BUC,development-management,E04001566,,2020-12-21,2016-11-15,,/development-policy/local-authority-eng/BUC/chalfontstpeterndp-VC5
chalfontstpeterndp-VC6,New shopfonts or replacement shopfronts must be designed to accord with the Shop Front Design Guide set out in Appendix A of this Neighbourhood Plan,,local-authority-eng:BUC,design,E04001566,,2020-12-21,2016-11-15,,/development-policy/local-authority-eng/BUC/chalfontstpeterndp-VC6
cheddingtonndp-P1,A Spatial Plan for the Parish,,local-authority-eng:BUC,strategic-policy,E04001469,,2020-12-21,2015-09-25,,/development-policy/local-authority-eng/BUC/cheddingtonndp-P1
cheddingtonndp-P2,Housing Site Allocations,,local-authority-eng:BUC,allocated-sites;housing,E04001469,,2020-12-21,2015-09-25,,/development-policy/local-authority-eng/BUC/cheddingtonndp-P2
cheddingtonndp-P3,Community Facilities,,local-authority-eng:BUC,community-facilities,E04001469,,2020-12-21,2015-09-25,,/development-policy/local-authority-eng/BUC/cheddingtonndp-P3
cheddingtonndp-P4,Design,,local-authority-eng:BUC,design,E04001469,,2020-12-21,2015-09-25,,/development-policy/local-authority-eng/BUC/cheddingtonndp-P4
cheddingtonndp-P5,Southend Hill & Westend Hill Heritage Asset & Special Landscape,,local-authority-eng:BUC,area/location-specific-policy;conservation-area;heritage,E04001469,,2020-12-21,2015-09-25,,/development-policy/local-authority-eng/BUC/cheddingtonndp-P5
cheddingtonndp-P6,Green Infrastructure & Biodiversity,,local-authority-eng:BUC,biodiversity,E04001469,,2020-12-21,2015-09-25,,/development-policy/local-authority-eng/BUC/cheddingtonndp-P6
cheddingtonndp-P7,Local Green Spaces,,local-authority-eng:BUC,community-facilities;designation,E04001469,,2020-12-21,2015-09-25,,/development-policy/local-authority-eng/BUC/cheddingtonndp-P7
clp-A2,Illuminated Non-Projecting Advertisements Throughout the District,,local-authority-eng:BUC,advertising;development-management,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-A2
clp-A3,Illuminated Projecting Advertisements Throughout the District,,local-authority-eng:BUC,advertising;development-management,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-A3
clp-AS1,Scheduled Monuments and Other Nationally Important Unscheduled Archaeological Remains Throughout the District,,local-authority-eng:BUC,archaeology,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-AS1
clp-AS2,Other Unscheduled Archaeological Remains Throughout the District,,local-authority-eng:BUC,archaeology,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-AS2
clp-CA1,Works to Buildings in Conservation Areas as Defined on the Proposals Map,,local-authority-eng:BUC,conservation-area;development-management,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-CA1
clp-CA2,"Views Within, out of, or into the Conservation Areas as Defined on the Proposals Map",,local-authority-eng:BUC,conservation-area;views,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-CA2
clp-CA3,Changes of Use in Conservation Areas as Defined on the Proposals Map,,local-authority-eng:BUC,conservation-area;development-management,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-CA3
clp-CA4,Demolition of Unlisted Buildings in Conservation Areas as Defined on the Proposals Map,,local-authority-eng:BUC,conservation-area;development-management,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-CA4
clp-CA5,Trees in Conservation Areas as Defined on the Proposals Map,,local-authority-eng:BUC,conservation-area;trees,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-CA5
clp-CSF1,Provision of Community Services and Facilities in the Built-up Areas Excluded from the Green Belt,,local-authority-eng:BUC,community-facilities;development-management,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-CSF1
clp-CSF2,Loss of Community Services and Facilities in the Built-up Areas Excluded from the Green Belt,,local-authority-eng:BUC,community-facilities;development-management,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-CSF2
clp-GB1,Extent of the Green Belt in Chiltern District,,local-authority-eng:BUC,green-belt,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GB1
clp-GB10,Re-Use of an Existing Habitable Dwelling in the Green Belt As More Than One Residential Unit (Class C3),,local-authority-eng:BUC,green-belt;existing-housing;housing,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GB10
clp-GB11,Re-Use of Existing Non-Residential Buildings in the Green Belt For Residential Use (Class C3),,local-authority-eng:BUC,green-belt,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GB11
clp-GB12,Extensions to Existing Dwellings and Self-Contained Residential Annexes (for relatives or domestic staff) in the Green Belt within the Policy Areas Defined in Policies GB4 and GB5,,local-authority-eng:BUC,green-belt;existing-housing;residential-alterations,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GB12
clp-GB13,Extensions to Existing Dwellings and Self-Contained Residential Annexes (for relatives or domestic staff) in the Green Belt Outside the Areas Defined in Policies GB4 and GB5,,local-authority-eng:BUC,green-belt;existing-housing;residential-alterations,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GB13
clp-GB15,Ancillary Residential Buildings Within the Curtilage of an Existing Habitable Dwelling in the Green Belt,,local-authority-eng:BUC,green-belt;existing-housing;residential-alterations,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GB15
clp-GB16,Extension of Residential Curtilages in the Green Belt,,local-authority-eng:BUC,green-belt;existing-housing;residential-alterations,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GB16
clp-GB17,Agricultural Workers Dwellings in the Green Belt,,local-authority-eng:BUC,green-belt,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GB17
clp-GB2,Development in General in the Green Belt,,local-authority-eng:BUC,green-belt,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GB2
clp-GB20,Retention of a Dwelling in the Green Belt without Compliance with an Agricultural Occupancy Condition,,local-authority-eng:BUC,green-belt;existing-housing,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GB20
clp-GB22A,"Business, General Industrial and Storage or Distribution Development In the Green Belt",,local-authority-eng:BUC,green-belt;economy;industry,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GB22A
clp-GB23,"Limited Infilling Including Local Community Facilities in the Green Belt In the Areas Defined in Policies GB4 and GB5, except Development covered by Policies GB4, GB5, GB6, GB12 and GB15",,local-authority-eng:BUC,green-belt;community-facilities;development-management,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GB23
clp-GB24,Redevelopment or Change of Use of Buildings Used for the Provision of Local Community Facilities in the Green Belt,,local-authority-eng:BUC,green-belt;community-facilities;development-management,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GB24
clp-GB27,"New Agricultural Buildings, Extensions and Alterations to Existing Agricultural Buildings in the Green Belt, except Dwellings for Agricultural Workers",,local-authority-eng:BUC,green-belt,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GB27
clp-GB29,"Re-Use of Buildings in the Green Belt for Commercial, Industrial, Recreational and Other Uses, except Residential Uses Covered by Policies GB10 and GB11",,local-authority-eng:BUC,green-belt;development-management;economy;industry,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GB29
clp-GB30,Conservation and Enhancement of Rural Landscape in parts of The Green Belt,,local-authority-eng:BUC,green-belt;development-management;nature,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GB30
clp-GB4,Residential Development in the Green Belt within Existing Rows of Dwellings As Defined in the Proposals Map,,local-authority-eng:BUC,green-belt;existing-housing,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GB4
clp-GB5,Residential Development in the Green Belt in Settlements As Defined on the Proposals Map,,local-authority-eng:BUC,green-belt,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GB5
clp-GB6,Rebuilding or Replacement of an Existing Habitable Dwelling Located in the Green Belt in the Areas Defined in Policies GB4 and GB5,,local-authority-eng:BUC,green-belt;existing-housing;housing,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GB6
clp-GB7,Rebuilding or Replacement of an Existing Habitable Dwelling in the Green Belt Outside the Areas Defined in Policies GB4 and GB5,,local-authority-eng:BUC,green-belt;existing-housing;housing,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GB7
clp-GB8,Rebuilding or Replacement of a Derelict Dwelling or Replacement of a Caravan with a Dwelling in the Green Belt,,local-authority-eng:BUC,green-belt;existing-housing;housing,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GB8
clp-GC1,Design of Development Throughout the District,,local-authority-eng:BUC,design,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GC1
clp-GC10,Protection from Flooding in the Areas as Defined on the Proposals Map And Throughout the District,,local-authority-eng:BUC,flooding,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GC10
clp-GC11,Water Abstraction Throughout the District,,local-authority-eng:BUC,water,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GC11
clp-GC12,Protection of River Character - Rivers Chess & Misbourne,,local-authority-eng:BUC,area/location-specific-policy,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GC12
clp-GC13,Hazardous Substances Consent Throughout the District,,local-authority-eng:BUC,contamination,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GC13
clp-GC14,Access for Disabled People to Developments Used by the Public Throughout the District,,local-authority-eng:BUC,development-management,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GC14
clp-GC2,Sunlighting and Daylighting Throughout the District,,local-authority-eng:BUC,lighting,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GC2
clp-GC3,Protection of Amenities Throughout the District,,local-authority-eng:BUC,,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GC3
clp-GC4,Landscaping Throughout the District,,local-authority-eng:BUC,nature,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GC4
clp-GC7,Noise-generating Developments Throughout the District,,local-authority-eng:BUC,development-management;noise,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GC7
clp-GC8,Residential and Other Noise Sensitive Development in Areas of High Noise Level Throughout the District,,local-authority-eng:BUC,development-management;noise,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GC8
clp-GC9,Prevention of Pollution Throughout the District,,local-authority-eng:BUC,air-quality,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-GC9
clp-H11,Distance Between Flank Elevation(s) of a Proposed Multi-Storey Dwelling and Boundary of Dwelling's Curtilage Throughout The District,,local-authority-eng:BUC,design;housing,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-H11
clp-H12,Private Residential Garden Areas Throughout the District,,local-authority-eng:BUC,,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-H12
clp-H13,Extensions to Dwellings In the Built-Up Areas Excluded From the Green Belt and in Policy GB4 and GB5 Areas in the Green Belt - General Policy,,local-authority-eng:BUC,residential-alterations;existing-housing,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-H13
clp-H14,Safeguarding the Amenities of Neighbours in Relation to Extensions Throughout the District,,local-authority-eng:BUC,development-management;existing-housing,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-H14
clp-H15,Design and Siting of Extensions Throughout the District,,local-authority-eng:BUC,design;residential-alterations;existing-housing,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-H15
clp-H16,Distance Between Multi-Storey or Upper Floor Side And/Or Rear Extensions and Boundary of Dwelling Curtilage Throughout the District,,local-authority-eng:BUC,design;housing,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-H16
clp-H17,Distance Between Single Storey Side Extensions and Boundary of Dwelling Curtilage Throughout the District,,local-authority-eng:BUC,design;housing,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-H17
clp-H18,Dormer Windows on Dwellings Throughout the District,,local-authority-eng:BUC,design;housing,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-H18
clp-H19,Self-Contained Residential Annexes (for relatives or domestic staff) in the Built-Up Areas Excluded from the Green Belt and in the Policy GB4 and GB5 Areas in the Green Belt,,local-authority-eng:BUC,development-management,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-H19
clp-H2,Identified Housing Sites as Defined on the Proposals Map,,local-authority-eng:BUC,allocation-sites;housing,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-H2
clp-H20,"Ancillary Residential Buildings (domestic garages, workshops, etc) In the Built-Up Areas Excluded From the Green Belt",,local-authority-eng:BUC,development-management,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-H20
clp-H21,Stationing and Occupation of a Caravan Within the Curtilage of a Dwellinghouse Throughout the District,,local-authority-eng:BUC,development-management;existing-housing,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-H21
clp-H3,"Provision of New Dwellings in the Built-Up Areas Excluded from the Green Belt (Other than in accordance with Policies H2, H4 & H7)",,local-authority-eng:BUC,housing,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-H3
clp-H4,Provision of New Dwellings in Established Residential Areas of Special Character As Defined on the Proposals Map,,local-authority-eng:BUC,area/location-specific-policy;development-management;housing,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-H4
clp-H7,Conversion of a Dwelling into More than One Residential Unit in the Built-Up Areas Excluded from the Green Belt and Policy GB4 and GB5 Areas in the Green Belt,,local-authority-eng:BUC,development-management;existing-housing;housing,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-H7
clp-H9,Loss of Existing Dwellings and Land in Residential Use Throughout the District,,local-authority-eng:BUC,development-management;existing-housing,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-H9
clp-LB1,Protection of Special Architectural or Historic Interest of Listed Buildings Throughout the District,,local-authority-eng:BUC,heritage;listed-building,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-LB1
clp-LB2,Protection of Setting of Listed Buildings Throughout the District,,local-authority-eng:BUC,listed-building,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-LB2
clp-LB3,Demolition of Listed Buildings Throughout the District,,local-authority-eng:BUC,listed-building,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-LB3
clp-LB4,Change of Use of Listed Buildings Throughout the District,,local-authority-eng:BUC,listed-building,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-LB4
clp-LSQ1,Chilterns Area of Outstanding Natural Beauty as Defined on the Proposals Map,,local-authority-eng:BUC,designation;nature,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-LSQ1
clp-NC1,Safeguarding of Nature Conservation Interests Throughout the District,,local-authority-eng:BUC,biodiversity;ecology;nature,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-NC1
clp-NC3,"Local Nature Reserve; Weirhouse Mill, Chesham",,local-authority-eng:BUC,area/location-specific-policy,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-NC3
clp-OEL1,Low Voltage Overhead Electricity Lines Throughout the District,,local-authority-eng:BUC,development-management,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-OEL1
clp-R10,Loss of Other Amenity Open Space (not open to the general public) as defined on the Proposals Map,,local-authority-eng:BUC,area/location-specific-policy;development-management;leisure;open-space,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-R10
clp-R11,Land to the South East of Chesham Moor : Water Based Recreation,,local-authority-eng:BUC,area/location-specific-policy,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-R11
clp-R12,Loss of Allotments Throughout the District,,local-authority-eng:BUC,allotments;development-management,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-R12
clp-R13,Horse Riding and Equestrian Activities Throughout the District,,local-authority-eng:BUC,equestrian-facilities,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-R13
clp-R16,Golf Courses and Golf Driving Ranges Throughout the District,,local-authority-eng:BUC,development-management,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-R16
clp-R2,Loss of Existing Sports Facilities Throughout the District,,local-authority-eng:BUC,community-facilities;development-management;leisure,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-R2
clp-R3,Indoor Sports Facilities in the Built-up Areas excluded from the Green Belt,,local-authority-eng:BUC,community-facilities;development-management;leisure,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-R3
clp-R4,Indoor Sports Facilities in the Green Belt,,local-authority-eng:BUC,green-belt;community-facilities;development-management;leisure,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-R4
clp-R6,Floodlighting of Sports Facilities Throughout the District,,local-authority-eng:BUC,community-facilities;development-management;leisure;lighting,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-R6
clp-R7,Loss of Public Amenity Open Space and Common Land as defined on the Proposals Map,,local-authority-eng:BUC,area/location-specific-policy;development-management;leisure;open-space,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-R7
clp-R8,Retention of Existing Character and Appearance of Public Amenity Open Space and Common Land as defined on the Proposals Map,,local-authority-eng:BUC,area/location-specific-policy;development-management;leisure;open-space,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-R8
clp-S1,Locations For Shopping Development Throughout the District,,local-authority-eng:BUC,retail,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-S1
clp-S10,"Residential Uses on Ground Floors in the Local Shopping Centres of Amersham Old Town, and Chalfont St Giles 192c as Defined on the Proposals Map",,local-authority-eng:BUC,area/location-specific-policy;housing,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-S10
