development-policy,name,description,organisation,development-policy-categories,geographies,notes,entry-date,start-date,end-date,slug
astonclintonndp-H2,Housing - Housing development,,local-authority-eng:BUC,housing,E04001457,,2020-12-21,2018-08-08,,/development-policy/local-authority-eng/BUC/astonclintonndp-H2
astonclintonndp-H3,Housing - Affordable housing,,local-authority-eng:BUC,affordable-housing,E04001457,,2020-12-21,2018-08-08,,/development-policy/local-authority-eng/BUC/astonclintonndp-H3
astonclintonndp-H4,Housing for Older People,,local-authority-eng:BUC,specialised-housing,E04001457,,2020-12-21,2018-08-08,,/development-policy/local-authority-eng/BUC/astonclintonndp-H4
astonclintonndp-H5,Housing - Mix of housing,,local-authority-eng:BUC,housing-mix,E04001457,,2020-12-21,2018-08-08,,/development-policy/local-authority-eng/BUC/astonclintonndp-H5
astonclintonndp-HQD1,High Quality Design,,local-authority-eng:BUC,design,E04001457,,2020-12-21,2018-08-08,,/development-policy/local-authority-eng/BUC/astonclintonndp-HQD1
astonclintonndp-HQD2,High Quality Design,,local-authority-eng:BUC,design,E04001457,,2020-12-21,2018-08-08,,/development-policy/local-authority-eng/BUC/astonclintonndp-HQD2
astonclintonndp-L1,Leisure - Aston Clinton Park,,local-authority-eng:BUC,area/location-specific-policy;community-facilities;leisure,E04001457,,2020-12-21,2018-08-08,,/development-policy/local-authority-eng/BUC/astonclintonndp-L1
astonclintonndp-L2,"Leisure - Public open spaces, footpaths, cycle & bridleways",,local-authority-eng:BUC,community-facilities;cycling;development-management;open-space,E04001457,,2020-12-21,2018-08-08,,/development-policy/local-authority-eng/BUC/astonclintonndp-L2
astonclintonndp-L3,Leisure - Community Centre,,local-authority-eng:BUC,community-facilities,E04001457,,2020-12-21,2018-08-08,,/development-policy/local-authority-eng/BUC/astonclintonndp-L3
astonclintonndp-T1,Transport - Traffic mitigation,,local-authority-eng:BUC,transport;transport,E04001457,,2020-12-21,2018-08-08,,/development-policy/local-authority-eng/BUC/astonclintonndp-T1
astonclintonndp-T2,Transport - Encourage walking & cycling,,local-authority-eng:BUC,cycling;leisure;transport;walking,E04001457,,2020-12-21,2018-08-08,,/development-policy/local-authority-eng/BUC/astonclintonndp-T2
avdlp-AY1,Considerations of traffic-generating proposals,,local-authority-eng:BUC,transport,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-AY1
avdlp-AY11,Reallocated sites - Circus Fields,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-AY11
avdlp-AY12,Requirement for planning briefs and public consultation regarding MDAs,,local-authority-eng:BUC,,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-AY12
