description,development-policy,development-policy-categories,end-date,entry-date,geographies,name,notes,organisation,start-date,slug
,clp-GB13,green-belt;existing-housing;residential-alterations,,2020-12-21,E07000005,Extensions to Existing Dwellings and Self-Contained Residential Annexes (for relatives or domestic staff) in the Green Belt Outside the Areas Defined in Policies GB4 and GB5,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-GB13
,clp-GB15,green-belt;existing-housing;residential-alterations,,2020-12-21,E07000005,Ancillary Residential Buildings Within the Curtilage of an Existing Habitable Dwelling in the Green Belt,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-GB15
,clp-GB16,green-belt;existing-housing;residential-alterations,,2020-12-21,E07000005,Extension of Residential Curtilages in the Green Belt,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-GB16
,clp-GB17,green-belt,,2020-12-21,E07000005,Agricultural Workers Dwellings in the Green Belt,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-GB17
,clp-GB20,green-belt;existing-housing,,2020-12-21,E07000005,Retention of a Dwelling in the Green Belt without Compliance with an Agricultural Occupancy Condition,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-GB20
,clp-GB22A,green-belt;economy;industry,,2020-12-21,E07000005,"Business, General Industrial and Storage or Distribution Development In the Green Belt",,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-GB22A
,clp-GB23,green-belt;community-facilities;development-management,,2020-12-21,E07000005,"Limited Infilling Including Local Community Facilities in the Green Belt In the Areas Defined in Policies GB4 and GB5, except Development covered by Policies GB4, GB5, GB6, GB12 and GB15",,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-GB23
,clp-GB24,green-belt;community-facilities;development-management,,2020-12-21,E07000005,Redevelopment or Change of Use of Buildings Used for the Provision of Local Community Facilities in the Green Belt,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-GB24
,clp-GB27,green-belt,,2020-12-21,E07000005,"New Agricultural Buildings, Extensions and Alterations to Existing Agricultural Buildings in the Green Belt, except Dwellings for Agricultural Workers",,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-GB27
,clp-GB29,green-belt;development-management;economy;industry,,2020-12-21,E07000005,"Re-Use of Buildings in the Green Belt for Commercial, Industrial, Recreational and Other Uses, except Residential Uses Covered by Policies GB10 and GB11",,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-GB29
,clp-GB30,green-belt;development-management;nature,,2020-12-21,E07000005,Conservation and Enhancement of Rural Landscape in parts of The Green Belt,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-GB30
,clp-LSQ1,designation;nature,,2020-12-21,E07000005,Chilterns Area of Outstanding Natural Beauty as Defined on the Proposals Map,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-LSQ1
,clp-H2,allocation-sites;housing,,2020-12-21,E07000005,Identified Housing Sites as Defined on the Proposals Map,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-H2
,clp-H3,housing,,2020-12-21,E07000005,"Provision of New Dwellings in the Built-Up Areas Excluded from the Green Belt (Other than in accordance with Policies H2, H4 & H7)",,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-H3
,clp-H4,area/location-specific-policy;development-management;housing,,2020-12-21,E07000005,Provision of New Dwellings in Established Residential Areas of Special Character As Defined on the Proposals Map,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-H4
,clp-H7,development-management;existing-housing;housing,,2020-12-21,E07000005,Conversion of a Dwelling into More than One Residential Unit in the Built-Up Areas Excluded from the Green Belt and Policy GB4 and GB5 Areas in the Green Belt,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-H7
,clp-H9,development-management;existing-housing,,2020-12-21,E07000005,Loss of Existing Dwellings and Land in Residential Use Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-H9
,clp-H11,design;housing,,2020-12-21,E07000005,Distance Between Flank Elevation(s) of a Proposed Multi-Storey Dwelling and Boundary of Dwelling's Curtilage Throughout The District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-H11
,clp-H12,,,2020-12-21,E07000005,Private Residential Garden Areas Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-H12
,clp-H13,residential-alterations;existing-housing,,2020-12-21,E07000005,Extensions to Dwellings In the Built-Up Areas Excluded From the Green Belt and in Policy GB4 and GB5 Areas in the Green Belt - General Policy,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-H13
,clp-H14,development-management;existing-housing,,2020-12-21,E07000005,Safeguarding the Amenities of Neighbours in Relation to Extensions Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-H14
,clp-H15,design;residential-alterations;existing-housing,,2020-12-21,E07000005,Design and Siting of Extensions Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-H15
,clp-H16,design;housing,,2020-12-21,E07000005,Distance Between Multi-Storey or Upper Floor Side And/Or Rear Extensions and Boundary of Dwelling Curtilage Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-H16
,clp-H17,design;housing,,2020-12-21,E07000005,Distance Between Single Storey Side Extensions and Boundary of Dwelling Curtilage Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-H17
,clp-H18,design;housing,,2020-12-21,E07000005,Dormer Windows on Dwellings Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-H18
,clp-H19,development-management,,2020-12-21,E07000005,Self-Contained Residential Annexes (for relatives or domestic staff) in the Built-Up Areas Excluded from the Green Belt and in the Policy GB4 and GB5 Areas in the Green Belt,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-H19
,clp-H20,development-management,,2020-12-21,E07000005,"Ancillary Residential Buildings (domestic garages, workshops, etc) In the Built-Up Areas Excluded From the Green Belt",,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-H20
,clp-H21,development-management;existing-housing,,2020-12-21,E07000005,Stationing and Occupation of a Caravan Within the Curtilage of a Dwellinghouse Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-H21
,clp-S1,retail,,2020-12-21,E07000005,Locations For Shopping Development Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-S1
,clp-S2,area/location-specific-policy;development-management,,2020-12-21,E07000005,"Chesham, Amersham-on-the-Hill and Chalfont St Peter District Centres as Defined on the Proposals Map - Additional Shopping Floorspace",,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-S2
,clp-S3,area/location-specific-policy;development-management,,2020-12-21,E07000005,The Local Centres as Defined on the Proposals Map Additional Shopping Floorspace,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-S3
,clp-S4,area/location-specific-policy;development-management;retail,,2020-12-21,E07000005,Change of Use to Class A1 Shop - Ground Floors - All Centres as Defined on the Proposals Map,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-S4
,clp-S5-CH,area/location-specific-policy;development-management;retail;retail-policy,,2020-12-21,E07000005,"Chesham District Shopping Centre: - Principal Shopping Frontages And Other Shopping Frontages As Defined On The Proposals Map - Changes Of Use To, or Between, Non - Class A1 Shop Uses On Ground Floors",,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-S5-CH
,clp-S5-AH,area/location-specific-policy;development-management;retail;retail-policy,,2020-12-21,E07000005,"Shopping Frontages in the District Shopping Centre of Amersham-on-the-Hill as Defined on the Proposals Map - Changes of Use To, or Between, Non Class A1 Shop Uses on Ground Floors",,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-S5-AH
,clp-S5-CSP,area/location-specific-policy;development-management;retail;retail-policy,,2020-12-21,E07000005,"Chalfont St Peter District Shopping Centre: - Principal Shopping Frontages And Other Shopping Frontages As Defined On The Proposals Map - Changes Of Use To, or Between, Non - Class A1 Shop Uses On Ground Floors",,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-S5-CSP
,clp-S7,area/location-specific-policy;community-facilities;development-management;retail;retail-policy,,2020-12-21,E07000005,"Shopping Frontages in the Local Shopping Centres as Defined on the Proposals Map - Changes of Use To, or Between, Non - Class A1 Shop Uses on Ground Floors",,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-S7
,clp-S9,area/location-specific-policy;retail,,2020-12-21,E07000005,Uses on Upper Floors in District and Local Shopping Centres as Defined on the Proposals Map,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-S9
,clp-S10,area/location-specific-policy;housing,,2020-12-21,E07000005,"Residential Uses on Ground Floors in the Local Shopping Centres of Amersham Old Town, and Chalfont St Giles 192c as Defined on the Proposals Map",,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-S10
,clp-S10A,area/location-specific-policy;development-management;housing;retail,,2020-12-21,E07000005,"Changes of Use on Ground and Upper Floors in High Street, Great Missenden as Defined on the Proposals Map",,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-S10A
,clp-S11,design,,2020-12-21,E07000005,Shop Fronts Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-S11
,clp-S12,area/location-specific-policy,,2020-12-21,E07000005,Rear Servicing in Chesham and Amersham-on-the-Hill District Shopping Centres as Defined on the Proposals Map,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-S12
,clp-S13,area/location-specific-policy;development-management;retail,,2020-12-21,E07000005,Small Scale Shopping Developments Outside District and Local Centres in Built-up Areas Excluded From the Green Belt,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-S13
,clp-S14,area/location-specific-policy;development-management;retail,,2020-12-21,E07000005,Other Shopping Developments Outside District and Local Centres in Built-up Areas Excluded From the Green Belt,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-S14
,clp-TR2,highways,,2020-12-21,E07000005,Highway Aspects of Planning Applications Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-TR2
,clp-TR3,highways,,2020-12-21,E07000005,Access and Road Layout Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-TR3
,clp-TR6,area/location-specific-policy,,2020-12-21,E07000005,"Extension of Sycamore Road Car Park, Amersham",,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-TR6
,clp-TR9,car-parks;allocated-sites,,2020-12-21,E07000005,"Land North-West of Water Meadow Car Park, Chesham",,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-TR9
,clp-TR11,car-parks;parking,,2020-12-21,E07000005,Provision of Off-Street Parking for Developments Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-TR11
,clp-TR12,car-parks;parking,,2020-12-21,E07000005,Relaxation of Parking Standards Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-TR12
,clp-TR14,car-parks;parking,,2020-12-21,E07000005,Retention of Existing Areas of Off-Street Vehicle Parking Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-TR14
,clp-TR15,car-parks;design,,2020-12-21,E07000005,Design of Parking Areas Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-TR15
,clp-TR16,car-parks;development-management,,2020-12-21,E07000005,Parking and Manoeuvring Standards Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-TR16
,clp-R2,community-facilities;development-management;leisure,,2020-12-21,E07000005,Loss of Existing Sports Facilities Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-R2
,clp-R3,community-facilities;development-management;leisure,,2020-12-21,E07000005,Indoor Sports Facilities in the Built-up Areas excluded from the Green Belt,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-R3
,clp-R4,green-belt;community-facilities;development-management;leisure,,2020-12-21,E07000005,Indoor Sports Facilities in the Green Belt,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-R4
,clp-R6,community-facilities;development-management;leisure;lighting,,2020-12-21,E07000005,Floodlighting of Sports Facilities Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-R6
,clp-R7,area/location-specific-policy;development-management;leisure;open-space,,2020-12-21,E07000005,Loss of Public Amenity Open Space and Common Land as defined on the Proposals Map,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-R7
,clp-R8,area/location-specific-policy;development-management;leisure;open-space,,2020-12-21,E07000005,Retention of Existing Character and Appearance of Public Amenity Open Space and Common Land as defined on the Proposals Map,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-R8
,clp-R10,area/location-specific-policy;development-management;leisure;open-space,,2020-12-21,E07000005,Loss of Other Amenity Open Space (not open to the general public) as defined on the Proposals Map,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-R10
,clp-R11,area/location-specific-policy,,2020-12-21,E07000005,Land to the South East of Chesham Moor : Water Based Recreation,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-R11
,clp-R12,allotments;development-management,,2020-12-21,E07000005,Loss of Allotments Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-R12
,clp-R13,equestrian-facilities,,2020-12-21,E07000005,Horse Riding and Equestrian Activities Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-R13
,clp-R16,development-management,,2020-12-21,E07000005,Golf Courses and Golf Driving Ranges Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-R16
,clp-T2,green-belt;tourism,,2020-12-21,E07000005,Hotels and Guest Houses in the Green Belt,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-T2
,clp-T4,green-belt;tourism,,2020-12-21,E07000005,Sites for Touring Holiday Caravans and Touring Holiday Tents in the Green Belt,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-T4
,clp-CSF1,community-facilities;development-management,,2020-12-21,E07000005,Provision of Community Services and Facilities in the Built-up Areas Excluded from the Green Belt,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-CSF1
,clp-CSF2,community-facilities;development-management,,2020-12-21,E07000005,Loss of Community Services and Facilities in the Built-up Areas Excluded from the Green Belt,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-CSF2
,clp-AS1,archaeology,,2020-12-21,E07000005,Scheduled Monuments and Other Nationally Important Unscheduled Archaeological Remains Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-AS1
,clp-AS2,archaeology,,2020-12-21,E07000005,Other Unscheduled Archaeological Remains Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-AS2
,clp-LB1,heritage;listed-building,,2020-12-21,E07000005,Protection of Special Architectural or Historic Interest of Listed Buildings Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-LB1
,clp-LB2,listed-building,,2020-12-21,E07000005,Protection of Setting of Listed Buildings Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-LB2
,clp-LB3,listed-building,,2020-12-21,E07000005,Demolition of Listed Buildings Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-LB3
,clp-LB4,listed-building,,2020-12-21,E07000005,Change of Use of Listed Buildings Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-LB4
,clp-CA1,conservation-area;development-management,,2020-12-21,E07000005,Works to Buildings in Conservation Areas as Defined on the Proposals Map,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-CA1
,clp-CA2,conservation-area;views,,2020-12-21,E07000005,"Views Within, out of, or into the Conservation Areas as Defined on the Proposals Map",,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-CA2
,clp-CA3,conservation-area;development-management,,2020-12-21,E07000005,Changes of Use in Conservation Areas as Defined on the Proposals Map,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-CA3
,clp-CA4,conservation-area;development-management,,2020-12-21,E07000005,Demolition of Unlisted Buildings in Conservation Areas as Defined on the Proposals Map,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-CA4
,clp-CA5,conservation-area;trees,,2020-12-21,E07000005,Trees in Conservation Areas as Defined on the Proposals Map,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-CA5
,clp-TW2,trees,,2020-12-21,E07000005,Consent for Works to Trees Covered By A Tree Preservation Order Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-TW2
,clp-TW3,trees,,2020-12-21,E07000005,Resistance to Loss of Trees Covered By A Tree Preservation Order Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-TW3
,clp-TW6,trees,,2020-12-21,E07000005,Resistance to Loss of Woodland Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-TW6
,clp-NC1,biodiversity;ecology;nature,,2020-12-21,E07000005,Safeguarding of Nature Conservation Interests Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-NC1
,clp-NC3,area/location-specific-policy,,2020-12-21,E07000005,"Local Nature Reserve; Weirhouse Mill, Chesham",,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-NC3
,clp-A2,advertising;development-management,,2020-12-21,E07000005,Illuminated Non-Projecting Advertisements Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-A2
,clp-A3,advertising;development-management,,2020-12-21,E07000005,Illuminated Projecting Advertisements Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-A3
,clp-TD1,broadband;infrastructure;communications;development-management,,2020-12-21,E07000005,Network Developments Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-TD1
,clp-TD2,broadband;infrastructure;communications;development-management,,2020-12-21,E07000005,Other Telecommunications Development Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-TD2
,clp-OEL1,development-management,,2020-12-21,E07000005,Low Voltage Overhead Electricity Lines Throughout the District,,development-policy:Buckinghamshire Council,1997-09-01,development-policy/development-policy/Buckinghamshire Council/clp-OEL1
,ccs-CS1,strategic-policy,,2020-12-21,E07000005,The Spatial Strategy,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS1
,ccs-CS2,strategic-policy,,2020-12-21,E07000005,Amount and Distribution of Residential Development 2006-2026,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS2
,ccs-CS3,strategic-policy,,2020-12-21,E07000005,Amount and Distribution of Non-Residential Development 2006-2026,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS3
,ccs-CS4,strategic-policy,,2020-12-21,E07000005,Ensuring that Development Is Sustainable,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS4
,ccs-CS5,energy;strategic-policy,,2020-12-21,E07000005,Encouraging Renewable Energy Schemes,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS5
,ccs-CS6,allocated-sites;housing,,2020-12-21,E07000005,Strategic Housing Allocations,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS6
,ccs-CS7,green-belt;allocated-sites;housing,,2020-12-21,E07000005,Major Developed Sites Within The Green Belt Allocated For Housing,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS7
,ccs-CS8,affordable-housing,,2020-12-21,E07000005,Affordable Housing Policy,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS8
,ccs-CS9,affordable-housing,,2020-12-21,E07000005,Affordable Housing in Rural Areas,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS9
,ccs-CS10,affordable-housing,,2020-12-21,E07000005,Affordable Housing Type,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS10
,ccs-CS11,affordable-housing,,2020-12-21,E07000005,Affordable Housing Size,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS11
,ccs-CS12,specialised-housing,,2020-12-21,E07000005,Specialist Housing,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS12
,ccs-CS13,green-belt;area/location-specific-policy;allocated-sites,,2020-12-21,E07000005,"Major Developed Sites Within The Green Belt At The National Society For Epilepsy, Chalfont St Peter",,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS13
,ccs-CS14,gypsy-and-travellers,,2020-12-21,E07000005,Sites for Gypsies and Travellers And Sites for Travelling Showpeople,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS14
,ccs-CS15,strategic-policy,,2020-12-21,E07000005,Smart Growth,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS15
,ccs-CS16,employment,,2020-12-21,E07000005,Employment Land,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS16
,ccs-CS17,green-belt;area/location-specific-policy;allocated-sites,,2020-12-21,E07000005,"Major Developed Site Within The Green Belt At Chalfont Grove, Chalfont St Peter",,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS17
,ccs-CS18,development-management,,2020-12-21,E07000005,Development Within District Shopping Centres,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS18
,ccs-CS19,economy,,2020-12-21,E07000005,Supporting The Rural Economy,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS19
,ccs-CS20,design,,2020-12-21,E07000005,Design And Environmental Quality,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS20
,ccs-CS21,development-management,,2020-12-21,E07000005,Areas Of Little Change,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS21
,ccs-CS22,designation;nature,,2020-12-21,E07000005,Chilterns Area of Outstanding Natural Beauty,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS22
,ccs-CS23,green-belt,,2020-12-21,E07000005,Review of the Boundaries of Identified Settlements and Rows of Dwellings Within the Green Belt,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS23
,ccs-CS24,biodiversity,,2020-12-21,E07000005,Biodiversity,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS24
,ccs-CS25,transport,,2020-12-21,E07000005,Dealing with the Impact of New Development on the Transport Network,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS25
,ccs-CS26,development-management,,2020-12-21,E07000005,Requirements of New Development,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS26
,ccs-CS27,health,,2020-12-21,E07000005,Working for a Healthier Community,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS27
,ccs-CS28,leisure,,2020-12-21,E07000005,Retaining and Improving Leisure and Recreational Facilities,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS28
,ccs-CS29,community-facilities,,2020-12-21,E07000005,Community,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS29
,ccs-CS30,development-management,,2020-12-21,E07000005,Reducing Crime and the Fear of Crime,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS30
,ccs-CS31,infrastructure,,2020-12-21,E07000005,Infrastructure,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS31
,ccs-CS32,biodiversity;ecology;nature,,2020-12-21,E07000005,Green Infrastructure,,development-policy:Buckinghamshire Council,2011-11-15,development-policy/development-policy/Buckinghamshire Council/ccs-CS32
,sblp-GB1,green-belt;development-management,,2020-12-21,E07000006,Green Belt Boundaries and the Control over Development in the Green Belt,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-GB1
,sblp-GB2,green-belt;development-management,,2020-12-21,E07000006,Re-use of Buildings in the Green Belt,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-GB2
,sblp-GB3,green-belt;development-management,,2020-12-21,E07000006,Residential Infilling in Green Belt Settlements,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-GB3
,sblp-GB4,green-belt;employment,,2020-12-21,E07000006,Employment Generating and Commercial Development in the Green Belt (excluding Green Belt settlements),,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-GB4
