description,development-policy,development-policy-categories,end-date,entry-date,geographies,name,notes,organisation,start-date,slug
,avdlp-GP35,design,,2020-12-21,E07000004,Design of new development proposals,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP35
,avdlp-GP38,nature,,2020-12-21,E07000004,Landscaping of new development proposals,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP38
,avdlp-GP39,trees,,2020-12-21,E07000004,Existing trees and hedgerows,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP39
,avdlp-GP40,trees,,2020-12-21,E07000004,Retention of existing trees and hedgerows,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP40
,avdlp-GP45,design,,2020-12-21,E07000004,Secured by Design considerations,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP45
,avdlp-GP53,development-management;conservation-area,,2020-12-21,E07000004,New development in and adjacent to Conservation Areas,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP53
,avdlp-GP57,advertising;conservation-area,,2020-12-21,E07000004,Advertisements in Conservation Areas,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP57
,avdlp-GP59,archaeology,,2020-12-21,E07000004,Preservation of archaeological remains,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP59
,avdlp-GP60,heritage;development-management,,2020-12-21,E07000004,Development and Parks or Gardens of Special Historic Interest,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP60
,avdlp-GP66,water,,2020-12-21,E07000004,Access corridors and buffers adjacent to watercourses,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP66
,avdlp-GP69,tourism;development-management,,2020-12-21,E07000004,Hotel and motel development,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP69
,avdlp-GP70,heritage;tourism;listed-buildings,,2020-12-21,E07000004,Changes of use of rural buildings and historic buildings to hotel use,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP70
,avdlp-GP71,tourism;development-management,,2020-12-21,E07000004,Bed and breakfast and guesthouse development,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP71
,avdlp-GP72,tourism,,2020-12-21,E07000004,Proposals for self-catering holiday accommodation and holiday homes,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP72
,avdlp-GP73,tourism,,2020-12-21,E07000004,Proposals for camping and touring caravan sites,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP73
,avdlp-GP77,equestrian-facilities,,2020-12-21,E07000004,Horse-related development,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP77
,avdlp-GP78,equestrian-facilities,,2020-12-21,E07000004,"Stables, loose boxes and other buildings for horses",,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP78
,avdlp-GP79,leisure;noise,,2020-12-21,E07000004,Proposals for noisy sports,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP79
,avdlp-GP80,area/location-specific-policy,,2020-12-21,E07000004,The Wendover Arm of the Grand Union Canal,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP80
